Gene_name,Ensembl_ID,n_comparisons,donor_supported_in_all,ambient_risk,ambient_pct,detect_frac,log_subtype_f,log_donor_f,ambient_flag
MNDA,ENSG00000163563,1,True,0.8768020841163285,72.22754595348026,0.015523809523809523,2.3717393010452623,1.5011125129801055,AMBIENT_RISK
KRT19,ENSG00000171345,1,True,0.8588274279327842,68.35961320672533,0.03661904761904762,0.9641708299310334,2.8295628130183093,ok
FBLN1,ENSG00000077942,2,True,0.8517673446339676,66.88735952609113,0.008619047619047618,2.2129739384176195,1.692824689407325,ok
PSMA6,ENSG00000100902,1,True,0.8390203800146611,64.55266138165345,0.10061904761904762,3.2038253688401817,3.1453006982661504,ok
SFTPC,ENSG00000168484,3,True,0.8313500904626363,62.97586897813399,0.18533333333333332,0.1912742640721802,4.9347077065721825,ok
FAM89B,ENSG00000176973,1,True,0.8311497663100001,62.90617649621048,0.04766666666666667,1.1820553611038878,1.6785899215571645,ok
RAB4B,ENSG00000167578,2,True,0.8284097174479101,62.4444638034672,0.04157142857142857,2.7081009451611844,1.430510247250746,ok
S100A2,ENSG00000196754,1,True,0.8049395500959351,58.506838574788745,0.031047619047619046,0.06907048778866573,3.2128736474617283,ok
PDCD7,ENSG00000090470,1,True,0.7973141432654056,57.20010453872288,0.05557142857142857,1.0558808336551857,1.5523286307697113,ok
S100A8,ENSG00000143546,1,True,0.7873019407187358,55.47521561111595,0.09109523809523809,2.718666221595027,3.0352289099715866,ok
IFNAR2,ENSG00000159110,2,True,0.76238160191313,51.798937189650665,0.07438095238095238,1.059588602979152,1.0231499793751273,ok
LYZ,ENSG00000090382,1,True,0.6603089304782955,39.2717135638993,0.10885714285714286,1.9980280132727761,2.8090461694678037,ok
CBX3,ENSG00000122565,1,True,0.5098808436220028,26.256642564683336,0.27504761904761904,2.099606009894348,2.9877944933320744,ok
GABPB1,ENSG00000104064,1,True,0.4591526085343947,22.824287829950343,0.16328571428571428,1.6837981927315648,2.5268318785561874,ok
GPR174,ENSG00000147138,1,True,0.4434780203524346,21.813746842059413,0.02780952380952381,4.2029501905891875,2.2666489684258075,ok
SELENOP,ENSG00000250722,1,True,0.405054271826021,19.374509974736476,0.02542857142857143,2.3013142536992777,2.5169050652789973,ok
UQCR11,ENSG00000127540,1,True,0.3510298617710542,16.595522258036414,0.379047619047619,0.1829529822896176,3.5791543311732403,ok
CXCL8,ENSG00000169429,1,True,0.31199418223694914,15.088422336440457,0.06766666666666667,2.9403781767876715,2.6621441992058408,ok
MATR3,ENSG00000015479,1,True,0.268623923416477,13.450649011237914,0.053285714285714283,1.5949224820342367,3.6841597933233308,ok
NDUFB8,ENSG00000166136,1,True,0.2654404365375084,13.27641780642913,0.2205238095238095,2.7682472094673014,3.0863110595345136,ok
POLR2J3,ENSG00000168255,1,True,0.1975284016478501,10.645526613816534,0.23214285714285715,0.5558361425554619,3.1430190530470985,ok
ARL6IP1,ENSG00000170540,1,True,0.13533175464565655,8.310828469378865,0.21733333333333332,4.635356597900389,2.3776312374508555,ok
EEF1G,ENSG00000254772,1,True,0.044702051571918866,4.92203153584807,0.34604761904761905,3.2280346560247524,5.73192823322477,ok
GZMK,ENSG00000113088,1,True,0.03730167359667391,4.5822806864709476,0.20652380952380953,7.8982578093963545,3.0136686053748685,ok
STEAP1B,ENSG00000105889,1,True,0.021597686276101254,3.737259343148358,0.15552380952380954,4.2877576793243035,7.226063507032469,ok
HSPA1B,ENSG00000204388,3,True,0.00785400247462352,2.778987716700061,0.23723809523809525,3.7101760522642526,3.92112013465569,ok
DNAJB1,ENSG00000132002,1,True,0.0019573964266195107,2.0210819757818625,0.48733333333333334,4.473132514142882,3.6435898103943827,ok
PNRC1,ENSG00000146278,1,True,0.000695823540724319,1.646484885442983,0.581,4.891210182572507,3.110804659997076,ok
BTG1,ENSG00000133639,2,True,0.0006054586736340937,1.6029270842407874,0.771952380952381,1.7364788999224667,5.198079052408818,ok
TXNIP,ENSG00000265972,1,True,0.0004226950287660239,1.5158114818363968,0.6259047619047619,2.8722778187682163,3.822163303592571,ok
S100A4,ENSG00000196154,1,True,2.5266249329420223e-05,1.0453872288526875,0.7603333333333333,1.1907350842293964,3.736363872597175,ok
RPS26,ENSG00000197728,1,True,2.5047146694086812e-05,1.0366756686122485,0.7215714285714285,3.4663649352302577,5.425698011482071,ok
H3-3B,ENSG00000132475,1,True,9.394332663334022e-06,0.9408485059674186,0.8749047619047619,5.485925331491114,3.317500825250701,ok
PTMA,ENSG00000187514,1,True,7.008316646431866e-07,0.7579057409181984,0.9591904761904761,1.1397351325333567,3.71835370677344,ok
RPL27A,ENSG00000166441,1,True,3.495781578378408e-09,0.2090774457705375,0.9538095238095238,4.7684926763257725,4.580539419101763,ok
RPS27,ENSG00000177954,1,True,4.4910528569359017e-10,0.0696924819235125,0.9908095238095238,5.732001878838097,4.545104441254143,ok
RPL21,ENSG00000122026,1,True,4.441461500252045e-10,0.06098092168307344,0.9637142857142857,6.093593586242122,4.662710782325351,ok
ACKR1,ENSG00000213088,1,True,,,,,,not_scored
S100A7,ENSG00000143556,1,True,,,,,,not_scored
