comparison,comparison_label,source,goal,token,Ensembl_ID,Gene_name,n_donors_evaluable,n_donors_nonzero,n_cells_total,median_cells_per_donor,median_donor_effect,mean_donor_effect,min_donor_effect,max_donor_effect,n_donors_positive,n_donors_negative,sign_concordance,bootstrap_ci_low,bootstrap_ci_high,ci_excludes_zero,same_direction_pass_70
normal_to_lusc,NORMAL → LUSC,normal,lusc,12193,ENSG00000168676,KCTD19,2,2,2,1.0,0.0026503801345825,0.0026503801345825,-0.0019311308860778,0.0072318911552429,1,1,0.5,-0.0019311308860778,0.0072318911552429,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,18146,ENSG00000234545,FAM133B,12,12,327,12.5,0.0026463638059794,0.0027602323875469,-0.0028759637847542,0.0123366042971611,8,4,0.6666666666666666,0.0007232008236671,0.0049096760185413,True,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,3626,ENSG00000109332,UBE2D3,12,12,797,36.0,0.0026461609201556,0.0029143668047016,-0.002604067325592,0.0062966905534267,11,1,0.9166666666666666,0.0014120235381815,0.0043708311470581,True,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,9643,ENSG00000154640,BTG3,12,12,220,10.5,0.0026425510571387,0.002849911745587,-0.0041666403412818,0.0168982446193695,7,5,0.5833333333333334,-0.0005018611481316,0.0061578822249917,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,6438,ENSG00000132010,ZNF20,3,3,3,1.0,0.0026414841413497,0.019723180681467,-0.0008195340633392,0.0573475919663906,2,1,0.6666666666666666,-0.0008195340633392,0.0573475919663906,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,9798,ENSG00000156136,DCK,11,11,191,9.0,0.0026407539844512,0.0020505734499007,-0.0107762701809406,0.0154982656240463,6,5,0.5454545454545454,-0.0028398266297483,0.0066806796211603,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,295,ENSG00000011332,DPF1,1,1,2,2.0,0.0026396512985229,0.0026396512985229,0.0026396512985229,0.0026396512985229,1,0,1.0,0.0026396512985229,0.0026396512985229,True,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,14330,ENSG00000180257,ZNF816,6,6,10,1.5,0.0026391819119453,0.005062872543931,-0.0195985734462738,0.0433230102062225,4,2,0.6666666666666666,-0.0104076067606608,0.0234633466849724,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,14836,ENSG00000183309,ZNF623,9,9,20,2.0,0.0026387423276901,0.0040273986480854,-0.0103760063648223,0.0184391140937805,7,2,0.7777777777777778,-0.0010428745299577,0.0090959472098836,False,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,17735,ENSG00000215126,ZNG1F,9,9,61,3.0,0.0026371922682632,0.0050033648810117,-0.0013672560453414,0.0198262333869934,7,2,0.7777777777777778,0.0009207838847797,0.0099006583036806,True,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,1388,ENSG00000077585,GPR137B,10,10,102,6.0,0.0026361631850401,0.0029468556544979,-0.0001825988292694,0.0063607072723763,8,2,0.8,0.0017015389017022,0.0043706877230717,True,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,16403,ENSG00000197111,PCBP2,12,12,574,23.5,0.0026348715810211,0.0028273134379248,-0.0011949777603149,0.0054312972817569,11,1,0.9166666666666666,0.0018250303330286,0.0037045429421663,True,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,12799,ENSG00000171428,NAT1,7,7,19,3.0,0.0026328586973249,-0.0037763115417744,-0.0438359081745147,0.0132452249526977,4,3,0.5714285714285714,-0.0188227539837715,0.0075591490775834,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,3113,ENSG00000105568,PPP2R1A,12,12,253,12.0,0.0026305073945692,0.0022655396310528,-0.0108636617660522,0.0109659234682718,8,4,0.6666666666666666,-0.0011361555498933,0.0054415848005436,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,1960,ENSG00000092330,TINF2,12,12,169,6.5,0.002621969048466,0.0026246714687469,-0.0086914698282877,0.0126467446486155,7,5,0.5833333333333334,-0.001031546442005,0.0064439364146665,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,8763,ENSG00000146833,TRIM4,9,9,95,6.0,0.002620373985597,0.0021015370532816,-0.0057042360305786,0.0110329113900661,6,3,0.6666666666666666,-0.001067422116126,0.0054038479696545,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,2116,ENSG00000099889,ARVCF,2,2,3,1.5,0.002619482576847,0.002619482576847,0.0006814450025558,0.0045575201511383,2,0,1.0,0.0006814450025558,0.0045575201511383,True,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,7602,ENSG00000138678,GPAT3,8,8,20,2.5,0.0026163309812545,0.0038283265312202,-0.0018878355622291,0.0178535138256847,6,2,0.75,0.0006458346285702,0.0082807135904052,True,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,8752,ENSG00000146729,NIPSNAP2,10,10,74,3.0,0.0026162154972553,0.0009903755815078,-0.030506320297718,0.0234666913747787,6,4,0.6,-0.0074698337730175,0.0081176686252001,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,3028,ENSG00000105202,FBL,12,12,348,14.5,0.0026157343096332,0.0036325953851254,-0.020262598991394,0.0349485278129577,9,3,0.75,-0.0030120759554734,0.0105636035483275,False,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,9742,ENSG00000155660,PDIA4,12,12,181,11.0,0.0026152333244681,0.0020778965088477,-0.0045212636504209,0.0085285454988479,8,4,0.6666666666666666,8.960678814225527e-05,0.0040159939642216,True,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,7561,ENSG00000138442,WDR12,10,10,44,3.5,0.0026144888252019,0.0024237525869499,-0.0102378278970718,0.0218755304813385,7,3,0.7,-0.0026534080362003,0.0079370192382484,False,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,19441,ENSG00000275066,SYNRG,12,12,219,11.5,0.0026136658713221,0.0042544230468144,-0.008444732055068,0.0346996486186981,8,4,0.6666666666666666,-0.0005729984359599,0.0105106970224843,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,6086,ENSG00000129654,FOXJ1,3,3,4,1.0,0.0026131272315979,0.0046503779788812,-0.0103858895599842,0.0217238962650299,2,1,0.6666666666666666,-0.0103858895599842,0.0217238962650299,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,14146,ENSG00000178999,AURKB,2,2,3,1.5,0.0026117712259292,0.0026117712259292,0.0019209086894989,0.0033026337623596,2,0,1.0,0.0019209086894989,0.0033026337623596,True,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,14712,ENSG00000182685,BRICD5,3,3,3,1.0,0.0026055574417114,0.0055436094601949,-0.0004447102546691,0.0144699811935424,2,1,0.6666666666666666,-0.0004447102546691,0.0144699811935424,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,3803,ENSG00000110987,BCL7A,5,5,8,2.0,0.0026026666164398,0.0077825367450714,-0.0327323824167251,0.0638392567634582,3,2,0.6,-0.0189550605416297,0.0408313453197479,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,17155,ENSG00000204475,NCR3,11,11,173,8.0,0.0026025131344795,-0.0007182125548952,-0.0249071419239044,0.0086110620759427,6,5,0.5454545454545454,-0.0067412247352609,0.0037979184772863,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,2856,ENSG00000104131,EIF3J,11,11,225,11.0,0.0026005506515502,0.0047359644490303,-0.0045663684606552,0.033463180065155,8,3,0.7272727272727273,0.0004173063637546,0.0110716794774956,True,True
